Casos,Grado 10,Grado 20,Grado 30,Grado 40,Grado 50,Grado 60,Grado 70,Grado 80,Grado 90,Grado 100,Grado 110,Grado 120,Grado 130,Grado 140,Grado 150,Grado 160,Grado 170,Grado 180,Grado 190,Grado 200,Grado 210,Grado 220,Grado 230,Grado 240,Grado 250,Grado 260,Grado 270,Grado 280,Grado 290,Grado 300,Grado 310,Grado 320,Grado 330,Grado 340,Grado 350,Grado 360,Grado 370,Grado 380,Grado 390,Grado 400,Grado 410,Grado 420,Grado 430,Grado 440,Grado 450,Grado 460,Grado 470,Grado 480,Grado 490,Grado 500,Grado 510,Grado 520,Grado 530,Grado 540,Grado 550,Grado 560,Grado 570,Grado 580,Grado 590,Grado 600,Grado 610,Grado 620,Grado 630,Grado 640,Grado 650,Grado 660,Grado 670,Grado 680,Grado 690,Grado 700,Grado 710,Grado 720,Grado 730,Grado 740,Grado 750,Grado 760,Grado 770,Grado 780,Grado 790,Grado 800,Grado 810,Grado 820,Grado 830,Grado 840,Grado 850,Grado 860,Grado 870,Grado 880,Grado 890,Grado 900,Grado 910,Grado 920,Grado 930,Grado 940,Grado 950,Grado 960,Grado 970,Grado 980,Grado 990,Grado 1000
Caso: 788,0.0000000000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000011000,0.0000126000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000012000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000018000,0.0000025000,0.0000019000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000020000,0.0000020000,0.0000020000,0.0000019000,0.0000019000,0.0000020000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000025000,0.0000025000,0.0000026000,0.0000027000,0.0000026000,0.0000028000,0.0000028000,0.0000028000,0.0000031000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000028000,0.0000028000,0.0000029000,0.0000030000,0.0000030000,0.0000031000,0.0000029000,0.0000029000,0.0000030000,0.0000032000,0.0000032000
Caso: 789,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000004000,0.0000003000,0.0000004000,0.0000005000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000010000,0.0000009000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000014000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000016000,0.0000015000,0.0000015000,0.0000016000,0.0000017000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000017000,0.0000018000,0.0000018000,0.0000019000,0.0000018000,0.0000019000,0.0000020000,0.0000020000,0.0000020000,0.0000021000,0.0000022000,0.0000022000,0.0000022000,0.0000022000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000024000,0.0000025000,0.0000025000,0.0000026000,0.0000040000,0.0000028000,0.0000027000,0.0000027000,0.0000027000,0.0000027000,0.0000032000,0.0000028000,0.0000030000,0.0000028000,0.0000029000,0.0000030000,0.0000030000,0.0000031000,0.0000031000,0.0000032000
Caso: 790,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000006000,0.0000008000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000012000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000018000,0.0000017000,0.0000017000,0.0000017000,0.0000017000,0.0000017000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000018000,0.0000020000,0.0000020000,0.0000020000,0.0000021000,0.0000021000,0.0000020000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000023000,0.0000022000,0.0000023000,0.0000038000,0.0000024000,0.0000024000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000025000,0.0000025000,0.0000026000,0.0000028000,0.0000028000,0.0000027000,0.0000028000,0.0000028000,0.0000029000,0.0000027000,0.0000030000,0.0000028000,0.0000028000,0.0000028000,0.0000029000,0.0000029000,0.0000030000,0.0000032000,0.0000030000,0.0000031000
Caso: 791,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000004000,0.0000003000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000009000,0.0000010000,0.0000011000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000013000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000017000,0.0000017000,0.0000017000,0.0000017000,0.0000017000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000019000,0.0000020000,0.0000020000,0.0000021000,0.0000020000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000026000,0.0000029000,0.0000026000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000173000,0.0000027000,0.0000028000,0.0000028000,0.0000028000,0.0000027000,0.0000028000,0.0000029000,0.0000030000,0.0000028000,0.0000030000,0.0000031000,0.0000030000,0.0000031000,0.0000044000,0.0000032000,0.0000032000
Caso: 792,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000003000,0.0000005000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000008000,0.0000010000,0.0000010000,0.0000009000,0.0000010000,0.0000011000,0.0000010000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000011000,0.0000013000,0.0000013000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000017000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000019000,0.0000020000,0.0000020000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000026000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000028000,0.0000028000,0.0000028000,0.0000029000,0.0000029000,0.0000029000,0.0000030000,0.0000030000,0.0000030000,0.0000030000,0.0000031000,0.0000032000,0.0000032000,0.0000033000,0.0000032000,0.0000033000,0.0000033000
Caso: 793,0.0000000000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000010000,0.0000009000,0.0000010000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000017000,0.0000016000,0.0000016000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000018000,0.0000019000,0.0000019000,0.0000020000,0.0000020000,0.0000023000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000025000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000027000,0.0000028000,0.0000028000,0.0000028000,0.0000028000,0.0000028000,0.0000028000,0.0000029000,0.0000030000,0.0000034000,0.0000032000,0.0000030000,0.0000031000,0.0000031000,0.0000032000,0.0000032000,0.0000032000,0.0000033000,0.0000033000,0.0000033000,0.0000033000,0.0000032000,0.0000033000,0.0000033000
Caso: 794,0.0000000000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000003000,0.0000002000,0.0000002000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000013000,0.0000013000,0.0000014000,0.0000015000,0.0000014000,0.0000014000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000017000,0.0000018000,0.0000020000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000021000,0.0000020000,0.0000020000,0.0000021000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000026000,0.0000026000,0.0000027000,0.0000028000,0.0000027000,0.0000027000,0.0000031000,0.0000030000,0.0000031000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000030000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000031000,0.0000031000,0.0000030000,0.0000032000,0.0000032000
Caso: 795,0.0000000000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000006000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000010000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000015000,0.0000016000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000015000,0.0000014000,0.0000014000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000016000,0.0000017000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000019000,0.0000018000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000020000,0.0000021000,0.0000022000,0.0000021000,0.0000021000,0.0000022000,0.0000024000,0.0000023000,0.0000022000,0.0000024000,0.0000024000,0.0000025000,0.0000026000,0.0000026000,0.0000026000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000025000,0.0000025000,0.0000027000,0.0000027000,0.0000027000,0.0000028000,0.0000031000,0.0000029000,0.0000033000,0.0000034000,0.0000031000,0.0000032000,0.0000029000,0.0000031000
Caso: 796,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000005000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000016000,0.0000015000,0.0000016000,0.0000016000,0.0000017000,0.0000016000,0.0000017000,0.0000017000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000020000,0.0000019000,0.0000019000,0.0000020000,0.0000024000,0.0000020000,0.0000021000,0.0000022000,0.0000021000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000025000,0.0000024000,0.0000024000,0.0000025000,0.0000024000,0.0000025000,0.0000024000,0.0000025000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000033000,0.0000027000,0.0000064000,0.0000028000,0.0000028000,0.0000029000,0.0000029000,0.0000028000,0.0000030000,0.0000030000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000030000,0.0000031000
Caso: 797,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000007000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000013000,0.0000012000,0.0000013000,0.0000014000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000014000,0.0000015000,0.0000016000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000018000,0.0000018000,0.0000021000,0.0000019000,0.0000020000,0.0000020000,0.0000019000,0.0000020000,0.0000019000,0.0000019000,0.0000019000,0.0000019000,0.0000021000,0.0000020000,0.0000023000,0.0000022000,0.0000023000,0.0000022000,0.0000024000,0.0000022000,0.0000027000,0.0000025000,0.0000025000,0.0000025000,0.0000023000,0.0000024000,0.0000024000,0.0000024000,0.0000024000,0.0000028000,0.0000028000,0.0000028000,0.0000028000,0.0000026000,0.0000029000,0.0000029000,0.0000030000,0.0000028000,0.0000028000,0.0000029000,0.0000029000,0.0000030000,0.0000030000,0.0000030000,0.0000031000,0.0000031000
Caso: 798,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000005000,0.0000005000,0.0000007000,0.0000006000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000010000,0.0000010000,0.0000009000,0.0000009000,0.0000010000,0.0000011000,0.0000011000,0.0000012000,0.0000011000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000019000,0.0000018000,0.0000020000,0.0000019000,0.0000020000,0.0000020000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000025000,0.0000026000,0.0000027000,0.0000029000,0.0000027000,0.0000028000,0.0000028000,0.0000028000,0.0000029000,0.0000033000,0.0000053000,0.0000048000,0.0000035000,0.0000037000,0.0000036000,0.0000061000,0.0000056000,0.0000044000,0.0000037000,0.0000045000,0.0000032000,0.0000033000,0.0000028000
Caso: 799,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000014000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000014000,0.0000015000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000017000,0.0000016000,0.0000017000,0.0000017000,0.0000017000,0.0000019000,0.0000019000,0.0000020000,0.0000019000,0.0000019000,0.0000020000,0.0000021000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000024000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000027000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000024000,0.0000027000,0.0000025000,0.0000025000,0.0000028000,0.0000026000,0.0000027000,0.0000027000,0.0000029000,0.0000028000,0.0000030000,0.0000030000,0.0000029000,0.0000029000,0.0000030000,0.0000030000,0.0000030000,0.0000030000,0.0000030000
Caso: 800,0.0000000000,0.0000001000,0.0000001000,0.0000002000,0.0000001000,0.0000002000,0.0000003000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000012000,0.0000011000,0.0000011000,0.0000013000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000015000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000017000,0.0000016000,0.0000017000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000019000,0.0000019000,0.0000020000,0.0000019000,0.0000020000,0.0000021000,0.0000021000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000021000,0.0000022000,0.0000021000,0.0000021000,0.0000023000,0.0000023000,0.0000024000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000024000,0.0000024000,0.0000024000,0.0000027000,0.0000027000,0.0000026000,0.0000028000,0.0000026000,0.0000028000,0.0000026000,0.0000027000,0.0000028000,0.0000029000,0.0000028000,0.0000029000,0.0000028000,0.0000030000,0.0000031000,0.0000031000,0.0000031000
Caso: 801,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000004000,0.0000003000,0.0000003000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000011000,0.0000011000,0.0000011000,0.0000013000,0.0000014000,0.0000014000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000014000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000017000,0.0000017000,0.0000016000,0.0000017000,0.0000018000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000019000,0.0000018000,0.0000019000,0.0000019000,0.0000020000,0.0000019000,0.0000020000,0.0000021000,0.0000020000,0.0000034000,0.0000022000,0.0000022000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000037000,0.0000023000,0.0000024000,0.0000024000,0.0000026000,0.0000025000,0.0000025000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000028000,0.0000027000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000030000,0.0000030000,0.0000030000,0.0000031000,0.0000031000,0.0000032000,0.0000031000,0.0000032000
Caso: 802,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000001000,0.0000003000,0.0000003000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000009000,0.0000010000,0.0000010000,0.0000011000,0.0000012000,0.0000011000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000017000,0.0000017000,0.0000017000,0.0000017000,0.0000017000,0.0000017000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000019000,0.0000020000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000021000,0.0000022000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000025000,0.0000025000,0.0000026000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000027000,0.0000027000,0.0000027000,0.0000029000,0.0000031000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000029000,0.0000030000,0.0000030000,0.0000030000,0.0000031000,0.0000032000,0.0000032000,0.0000033000
Caso: 803,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000003000,0.0000002000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000005000,0.0000004000,0.0000005000,0.0000005000,0.0000006000,0.0000016000,0.0000006000,0.0000006000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000014000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000015000,0.0000016000,0.0000016000,0.0000017000,0.0000017000,0.0000017000,0.0000018000,0.0000019000,0.0000018000,0.0000019000,0.0000019000,0.0000020000,0.0000019000,0.0000021000,0.0000021000,0.0000021000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000022000,0.0000022000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000024000,0.0000025000,0.0000026000,0.0000025000,0.0000025000,0.0000026000,0.0000026000,0.0000027000,0.0000027000,0.0000027000,0.0000028000,0.0000028000,0.0000029000,0.0000028000,0.0000028000,0.0000030000,0.0000029000,0.0000030000,0.0000030000,0.0000031000,0.0000031000,0.0000031000,0.0000030000,0.0000031000,0.0000032000,0.0000033000,0.0000033000
Caso: 804,0.0000001000,0.0000001000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000007000,0.0000007000,0.0000008000,0.0000009000,0.0000008000,0.0000009000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000010000,0.0000011000,0.0000011000,0.0000012000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000017000,0.0000018000,0.0000018000,0.0000018000,0.0000019000,0.0000019000,0.0000020000,0.0000020000,0.0000020000,0.0000021000,0.0000021000,0.0000022000,0.0000022000,0.0000023000,0.0000021000,0.0000022000,0.0000023000,0.0000024000,0.0000024000,0.0000025000,0.0000025000,0.0000024000,0.0000025000,0.0000025000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000027000,0.0000027000,0.0000030000,0.0000031000,0.0000031000,0.0000029000,0.0000029000,0.0000029000,0.0000032000,0.0000030000,0.0000031000,0.0000031000,0.0000031000,0.0000032000,0.0000032000,0.0000033000,0.0000032000,0.0000032000,0.0000032000,0.0000032000,0.0000033000
Caso: 805,0.0000000000,0.0000001000,0.0000001000,0.0000002000,0.0000002000,0.0000003000,0.0000003000,0.0000003000,0.0000003000,0.0000003000,0.0000004000,0.0000004000,0.0000004000,0.0000005000,0.0000005000,0.0000005000,0.0000005000,0.0000006000,0.0000006000,0.0000007000,0.0000007000,0.0000008000,0.0000008000,0.0000008000,0.0000008000,0.0000009000,0.0000010000,0.0000010000,0.0000009000,0.0000011000,0.0000010000,0.0000010000,0.0000011000,0.0000013000,0.0000012000,0.0000013000,0.0000012000,0.0000013000,0.0000013000,0.0000013000,0.0000014000,0.0000014000,0.0000015000,0.0000015000,0.0000015000,0.0000015000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000016000,0.0000017000,0.0000022000,0.0000017000,0.0000018000,0.0000019000,0.0000019000,0.0000019000,0.0000020000,0.0000020000,0.0000020000,0.0000020000,0.0000021000,0.0000034000,0.0000021000,0.0000021000,0.0000022000,0.0000023000,0.0000023000,0.0000022000,0.0000023000,0.0000023000,0.0000024000,0.0000024000,0.0000024000,0.0000027000,0.0000026000,0.0000026000,0.0000026000,0.0000027000,0.0000027000,0.0000027000,0.0000027000,0.0000027000,0.0000028000,0.0000029000,0.0000028000,0.0000029000,0.0000030000,0.0000030000,0.0000030000,0.0000031000,0.0000031000,0.0000031000,0.0000086000,0.0000032000,0.0000032000,0.0000036000
